pitch_trim	V(cv_out)
Step Information: Temp=10 Rcurrent=1.4M  (Run: 1/15)
-9.999999999999999e-002	1.077128e+001
-9.000000000000000e-002	7.230246e+000
-8.000000000000000e-002	4.829953e+000
-7.000000000000001e-002	3.224676e+000
-6.000000000000001e-002	2.152252e+000
-5.000000000000000e-002	1.436327e+000
-4.000000000000000e-002	9.586231e-001
-3.000000000000000e-002	6.399770e-001
-2.000000000000000e-002	4.274744e-001
-1.000000000000000e-002	2.857785e-001
Step Information: Temp=25 Rcurrent=1.4M  (Run: 2/15)
-9.999999999999999e-002	8.833257e+000
-9.000000000000000e-002	6.023869e+000
-8.000000000000000e-002	4.105341e+000
-7.000000000000001e-002	2.796730e+000
-6.000000000000001e-002	1.904862e+000
-5.000000000000000e-002	1.297357e+000
-4.000000000000000e-002	8.837049e-001
-3.000000000000000e-002	6.021212e-001
-2.000000000000000e-002	4.104734e-001
-1.000000000000000e-002	2.800522e-001
Step Information: Temp=45 Rcurrent=1.4M  (Run: 3/15)
-9.999999999999999e-002	6.945068e+000
-9.000000000000000e-002	4.849421e+000
-8.000000000000000e-002	3.384713e+000
-7.000000000000001e-002	2.361822e+000
-6.000000000000001e-002	1.647887e+000
-5.000000000000000e-002	1.149788e+000
-4.000000000000000e-002	8.023720e-001
-3.000000000000000e-002	5.601019e-001
-2.000000000000000e-002	3.911783e-001
-1.000000000000000e-002	2.734069e-001
Step Information: Temp=10 Rcurrent=1.6M  (Run: 4/15)
-9.999999999999999e-002	9.475044e+000
-9.000000000000000e-002	6.333112e+000
-8.000000000000000e-002	4.229721e+000
-7.000000000000001e-002	2.823575e+000
-6.000000000000001e-002	1.884438e+000
-5.000000000000000e-002	1.257605e+000
-4.000000000000000e-002	8.393993e-001
-3.000000000000000e-002	5.604633e-001
-2.000000000000000e-002	3.744530e-001
-1.000000000000000e-002	2.504266e-001
Step Information: Temp=25 Rcurrent=1.6M  (Run: 5/15)
-9.999999999999999e-002	7.738206e+000
-9.000000000000000e-002	5.275740e+000
-8.000000000000000e-002	3.594899e+000
-7.000000000000001e-002	2.448774e+000
-6.000000000000001e-002	1.667816e+000
-5.000000000000000e-002	1.135936e+000
-4.000000000000000e-002	7.738146e-001
-3.000000000000000e-002	5.273259e-001
-2.000000000000000e-002	3.595718e-001
-1.000000000000000e-002	2.454145e-001
Step Information: Temp=45 Rcurrent=1.6M  (Run: 6/15)
-9.999999999999999e-002	6.082892e+000
-9.000000000000000e-002	4.246651e+000
-8.000000000000000e-002	2.963681e+000
-7.000000000000001e-002	2.067918e+000
-6.000000000000001e-002	1.442816e+000
-5.000000000000000e-002	1.006745e+000
-4.000000000000000e-002	7.026160e-001
-3.000000000000000e-002	4.905444e-001
-2.000000000000000e-002	3.426826e-001
-1.000000000000000e-002	2.395980e-001
Step Information: Temp=10 Rcurrent=1.8M  (Run: 7/15)
-9.999999999999999e-002	8.432035e+000
-9.000000000000000e-002	5.634469e+000
-8.000000000000000e-002	3.762491e+000
-7.000000000000001e-002	2.511442e+000
-6.000000000000001e-002	1.676068e+000
-5.000000000000000e-002	1.118570e+000
-4.000000000000000e-002	7.466584e-001
-3.000000000000000e-002	4.986153e-001
-2.000000000000000e-002	3.332131e-001
-1.000000000000000e-002	2.229307e-001
Step Information: Temp=25 Rcurrent=1.8M  (Run: 8/15)
-9.999999999999999e-002	6.885231e+000
-9.000000000000000e-002	4.693277e+000
-8.000000000000000e-002	3.197622e+000
-7.000000000000001e-002	2.178023e+000
-6.000000000000001e-002	1.483394e+000
-5.000000000000000e-002	1.010365e+000
-4.000000000000000e-002	6.883354e-001
-3.000000000000000e-002	4.691485e-001
-2.000000000000000e-002	3.199807e-001
-1.000000000000000e-002	2.184741e-001
Step Information: Temp=45 Rcurrent=1.8M  (Run: 9/15)
-9.999999999999999e-002	5.411558e+000
-9.000000000000000e-002	3.777469e+000
-8.000000000000000e-002	2.636039e+000
-7.000000000000001e-002	1.839245e+000
-6.000000000000001e-002	1.283279e+000
-5.000000000000000e-002	8.954720e-001
-4.000000000000000e-002	6.250212e-001
-3.000000000000000e-002	4.364416e-001
-2.000000000000000e-002	3.049630e-001
-1.000000000000000e-002	2.133023e-001
Step Information: Temp=10 Rcurrent=2M  (Run: 10/15)
-9.999999999999999e-002	7.596386e+000
-9.000000000000000e-002	5.075003e+000
-8.000000000000000e-002	3.388466e+000
-7.000000000000001e-002	2.261632e+000
-6.000000000000001e-002	1.509327e+000
-5.000000000000000e-002	1.007324e+000
-4.000000000000000e-002	6.724586e-001
-3.000000000000000e-002	4.491344e-001
-2.000000000000000e-002	3.002205e-001
-1.000000000000000e-002	2.009339e-001
Step Information: Temp=25 Rcurrent=2M  (Run: 11/15)
-9.999999999999999e-002	6.202048e+000
-9.000000000000000e-002	4.226939e+000
-8.000000000000000e-002	2.879633e+000
-7.000000000000001e-002	1.961346e+000
-6.000000000000001e-002	1.335823e+000
-5.000000000000000e-002	9.098930e-001
-4.000000000000000e-002	6.199464e-001
-3.000000000000000e-002	4.226045e-001
-2.000000000000000e-002	2.883074e-001
-1.000000000000000e-002	1.969218e-001
Step Information: Temp=45 Rcurrent=2M  (Run: 12/15)
-9.999999999999999e-002	4.874015e+000
-9.000000000000000e-002	3.401895e+000
-8.000000000000000e-002	2.373817e+000
-7.000000000000001e-002	1.656256e+000
-6.000000000000001e-002	1.155627e+000
-5.000000000000000e-002	8.064437e-001
-4.000000000000000e-002	5.629411e-001
-3.000000000000000e-002	3.931578e-001
-2.000000000000000e-002	2.747869e-001
-1.000000000000000e-002	1.922657e-001
Step Information: Temp=10 Rcurrent=2.2M  (Run: 13/15)
-9.999999999999999e-002	6.911848e+000
-9.000000000000000e-002	4.616894e+000
-8.000000000000000e-002	3.082286e+000
-7.000000000000001e-002	2.057172e+000
-6.000000000000001e-002	1.372873e+000
-5.000000000000000e-002	9.162924e-001
-4.000000000000000e-002	6.117449e-001
-3.000000000000000e-002	4.086483e-001
-2.000000000000000e-002	2.732261e-001
-1.000000000000000e-002	1.829366e-001
Step Information: Temp=25 Rcurrent=2.2M  (Run: 14/15)
-9.999999999999999e-002	5.642548e+000
-9.000000000000000e-002	3.845145e+000
-8.000000000000000e-002	2.619349e+000
-7.000000000000001e-002	1.784015e+000
-6.000000000000001e-002	1.215062e+000
-5.000000000000000e-002	8.276799e-001
-4.000000000000000e-002	5.639879e-001
-3.000000000000000e-002	3.845217e-001
-2.000000000000000e-002	2.623924e-001
-1.000000000000000e-002	1.792880e-001
Step Information: Temp=45 Rcurrent=2.2M  (Run: 15/15)
-9.999999999999999e-002	4.433893e+000
-9.000000000000000e-002	3.094456e+000
-8.000000000000000e-002	2.159201e+000
-7.000000000000001e-002	1.506505e+000
-6.000000000000001e-002	1.051168e+000
-5.000000000000000e-002	7.335955e-001
-4.000000000000000e-002	5.121453e-001
-3.000000000000000e-002	3.577426e-001
-2.000000000000000e-002	2.500971e-001
-1.000000000000000e-002	1.750540e-001
